Cavalry Drake,Beast Tribe,Amalj'aa Vendor - Ring of Ash - 120,000 Gil
Behemoth,Achievement,Jonathas - Old Gridania - 6 Achievement Certificates
Unicorn,Quest,Unicorn Power
Ahriman,Achievement,Jonathas - Old Gridania - 6 Achievement Certificates
Coeurl,Premium,A Realm Reborn Collector's Edition
Magitek Armor,Quest,The Ultimate Weapon
Legacy Chocobo,Limited,Legacy Campaign
Goobbue,Limited,At level 30 or above, speak with the Wandering Minstrel in Eastern La Noscea (1.0)
Company Chocobo,Quest,My Little Chocobo (Immortal Flames)
Company Chocobo,Quest,My Little Chocobo (Maelstrom)
Company Chocobo,Quest,My Little Chocobo (Twin Adder)
